  
Date	Temp	pH	pH2	Amp_3	Amp_4	Amp_5	pHx6	Tmpx6	pHx7	Tmpx7	pHx8	Tmpx8	pHx9	Tmpx9	pHx10	Tmpx10	pHx11	Tmpx11	pHx12	Tmpx12	pHx13	Tmpx13	pHx14	Tmpx14	pHx15	Tmpx15	pHx16	Tmpx16	pHx17	Tmpx17	pHx19	Tmpx19	pHx20	Tmpx20	pHx21	Tmpx21
08:30 05/13/2017	-6.2	4.18	6.00	0.8	2.0	4.1	4.47	24.7	8.04	26.2	5.41	24.8	4.62	26.2	6.32	26.3	2.68	26.2	5.22	26.2	6.63	28.2	5.26	41.3	2.15	26.5	6.57	26.6	6.24	27.0	5.84	26.8	6.11	26.0	6.82	26.1
08:40 05/13/2017	-6.2	4.18	5.99	0.9	2.3	3.6	4.46	24.7	8.04	26.2	5.41	24.8	4.61	26.2	6.32	26.3	2.68	26.2	5.22	26.2	6.63	28.2	5.25	41.3	2.15	26.5	6.57	26.6	6.24	26.8	5.84	26.8	6.11	26.0	6.82	26.1
08:50 05/13/2017	-6.2	4.17	5.99	0.8	2.4	3.9	4.46	24.7	8.03	26.2	5.41	24.9	4.61	26.2	6.32	26.3	2.68	26.2	5.23	26.2	6.63	28.2	5.25	41.4	2.15	26.5	6.57	26.5	6.24	26.7	5.83	26.8	6.11	26.0	6.81	26.1
09:00 05/13/2017	-6.2	4.17	5.99	0.9	2.3	4.2	4.46	24.7	8.03	26.2	5.41	24.8	4.61	26.2	6.32	26.2	2.68	26.2	5.23	26.2	6.62	28.2	5.25	41.3	2.15	26.5	6.57	26.5	6.24	26.7	5.83	26.8	6.11	25.8	6.81	26.1
09:10 05/13/2017	-6.2	4.16	5.99	0.9	2.0	3.3	4.46	24.7	8.03	26.1	5.41	24.8	4.61	26.2	6.32	26.2	2.67	26.1	5.22	26.2	6.62	28.2	5.25	41.3	2.15	26.5	6.57	26.4	6.24	26.6	5.83	26.7	6.11	25.8	6.81	26.1
09:20 05/13/2017	-6.2	4.15	5.99	0.9	1.9	4.2	4.46	24.7	8.03	26.1	5.41	24.8	4.61	26.2	6.32	26.2	2.68	26.1	5.22	26.2	6.62	28.2	5.24	41.2	2.15	26.4	6.57	26.3	6.24	26.5	5.83	26.7	6.11	25.8	6.81	26.0
09:30 05/13/2017	-6.2	4.15	5.99	0.9	2.0	3.9	4.45	24.8	8.02	26.1	5.40	24.8	4.61	26.1	6.33	26.2	2.67	26.1	5.23	26.2	6.62	28.2	5.24	40.8	2.15	26.4	6.56	26.3	6.24	26.5	5.83	26.6	6.11	25.8	6.81	26.0
09:40 05/13/2017	-6.2	4.14	5.99	0.8	2.4	4.1	4.45	24.8	8.02	26.1	5.40	24.7	4.60	26.1	6.33	26.2	2.67	26.1	5.23	26.1	6.62	28.2	5.24	40.8	2.15	26.4	6.56	26.2	6.24	26.4	5.83	26.6	6.11	25.8	6.81	26.0
09:50 05/13/2017	-6.2	4.14	5.99	0.7	2.5	3.4	4.45	24.8	8.02	26.0	5.40	24.7	4.60	26.1	6.33	26.2	2.67	26.1	5.23	26.1	6.62	28.2	5.24	40.8	2.15	26.4	6.56	26.2	6.23	26.3	5.83	26.6	6.11	25.8	6.79	26.0
10:00 05/13/2017	-6.2	4.13	5.99	0.7	2.2	4.2	4.45	24.8	8.02	26.0	5.40	24.7	4.60	26.1	6.33	26.2	2.67	26.1	5.23	26.1	6.62	28.3	5.24	40.9	2.15	26.3	6.56	26.2	6.23	26.3	5.82	26.5	6.11	25.8	6.79	26.0
10:10 05/13/2017	-6.2	4.12	5.99	0.8	2.1	3.8	4.45	24.8	8.01	26.0	5.40	24.7	4.60	26.1	6.33	26.1	2.67	26.1	5.23	26.1	6.61	28.3	5.23	40.7	2.15	26.3	6.56	26.1	6.23	26.2	5.82	26.5	6.11	25.8	6.79	26.0
